id,title,year,doi,n_citation,doc_type,reference_count,references
20,Task talk upon baby step.,2021,https://doi.org/10.1000/903347,14,Journal,37,1588;1875;1470;621;1342;1671;1057;1300;1064;695
21,Live rest hit.,1995,https://doi.org/10.1000/949831,122,Journal,41,458;1998;498;1192
22,Course this four.,2019,https://doi.org/10.1000/186302,460,Journal,8,1258
23,Animal nor yourself.,2020,https://doi.org/10.1000/769205,423,Conference,17,1416;98;451
24,Result ever land until beautiful.,2015,https://doi.org/10.1000/696566,357,Journal,34,189;267;1559;1974;879;449
25,Though wife during throw real natural.,2001,https://doi.org/10.1000/927348,379,Journal,40,34;1071;916;1633;1683
26,City fact approach right factor edge.,2008,https://doi.org/10.1000/255028,27,Conference,12,1859;1540;258;698;1041;420;708;105
27,Tonight guy term chance.,2002,https://doi.org/10.1000/943974,427,Journal,5,992;243;595;731
28,Perhaps point believe significant public force.,2000,https://doi.org/10.1000/941453,306,Conference,36,434;1610;549;1302;1511
29,Mother accept other.,2022,https://doi.org/10.1000/201631,181,Journal,47,1555;1082;354;1089;1296;1970;810;1881;1926
30,Look approach record.,2022,https://doi.org/10.1000/630034,29,Conference,49,180;840;1299;1362;1595;114;1886
31,Lot school really chair without.,2006,https://doi.org/10.1000/103890,187,Conference,25,1445
32,Peace reveal hot.,1991,https://doi.org/10.1000/904794,267,Journal,33,1355;752;123;442;533;138;400;1897;1659;1269
33,Deep look toward community.,2015,https://doi.org/10.1000/959733,255,Conference,21,1588;578;9;1853
34,Box poor including position up hospital.,2017,https://doi.org/10.1000/112536,375,Journal,35,1070;1802;1887;1232;1371
35,Head plant authority office throughout.,2007,https://doi.org/10.1000/846125,313,Conference,46,177;1516;541;1854;495;38
36,Nearly under here.,2006,https://doi.org/10.1000/530542,438,Conference,8,1577;729;517;18;1814;1426;1243
37,Music boy season whether over.,2014,https://doi.org/10.1000/874317,193,Conference,50,91;5;1242;286;1599
38,Threat activity degree.,2011,https://doi.org/10.1000/508769,231,Journal,31,1652;1869;314;520;1770;450;460;92
39,Call daughter heavy world program ask.,1992,https://doi.org/10.1000/493894,186,Journal,20,567;1677;356;755;826;1625;780;59;1997;468
40,Water number Mrs western the.,2015,https://doi.org/10.1000/289578,174,Conference,38,1129
41,Your glass phone most one good.,2023,https://doi.org/10.1000/654169,37,Journal,31,332;1526;582;133;1950;584;551
42,Officer probably major admit anything program.,1997,https://doi.org/10.1000/642788,420,Journal,38,314;801;740;760;1935;1482;799;669;113;450
43,Something page Democrat.,2019,https://doi.org/10.1000/713219,89,Journal,28,1656;465
44,Performance source enjoy product beautiful.,1990,https://doi.org/10.1000/488170,179,Journal,14,198;1804;1785;1262;819;1647;578;1845
45,Quickly evidence surface.,1995,https://doi.org/10.1000/402696,43,Conference,20,171;459;599
46,Help article action mother security claim.,2000,https://doi.org/10.1000/720221,105,Journal,47,485;420;1684;1363;1071
47,Authority when quickly benefit other occur.,2024,https://doi.org/10.1000/628993,485,Conference,14,1835;1252;535;105;646;678;756
48,Ok method international show town drive.,1993,https://doi.org/10.1000/180046,60,Journal,49,621;1214;630;1195;1626;264;208;1604
49,Citizen alone religious push bar.,2013,https://doi.org/10.1000/445941,306,Journal,14,1241;595;528;1344
50,Pressure door reach.,1995,https://doi.org/10.1000/211821,109,Journal,1,633;1579;1691;566;44
51,President stage raise.,1995,https://doi.org/10.1000/465873,447,Conference,9,1064;1510;1356;1428;1598
52,Successful threat nice pressure order notice.,2011,https://doi.org/10.1000/326297,161,Journal,29,1649;717;1640;326;1417;1961;304
53,Strong nearly form.,1998,https://doi.org/10.1000/673204,437,Conference,18,1477;1454;1306;123;1672;1712;720;29
54,Study call reality PM everything.,2024,https://doi.org/10.1000/922771,360,Conference,41,79;1163;839;53;976;1244;1755
55,Full politics raise write must deep.,1994,https://doi.org/10.1000/268986,352,Journal,5,65
56,Letter pay service kid measure.,2024,https://doi.org/10.1000/253748,428,Journal,27,1642
57,General item then hold table new.,2005,https://doi.org/10.1000/493393,339,Journal,31,1102;168
58,Whether fish discover stand current spend.,1992,https://doi.org/10.1000/936430,308,Journal,17,389;841;887;774
59,Garden sometimes send.,2017,https://doi.org/10.1000/398841,362,Conference,37,1585;278;1258;1221;1165;115;1098;179
60,Positive everything each.,1995,https://doi.org/10.1000/590987,196,Conference,17,1774;699;1198;235;175;532
61,Involve do network opportunity thank.,1992,https://doi.org/10.1000/528902,264,Conference,12,820
62,Institution return art.,1994,https://doi.org/10.1000/398351,224,Conference,12,1075;491;67;1768;1314;1009;864;1043;783;339
63,Newspaper election tough theory run full.,2005,https://doi.org/10.1000/954521,368,Conference,28,824;282;885
64,Form spend avoid standard year spend.,2021,https://doi.org/10.1000/334511,237,Journal,13,1199;480;1594;471;457;141;1074;475;1153;1311
65,True because unit president draw court.,1999,https://doi.org/10.1000/368745,98,Conference,16,1758;602;1541;1061;1048;755
66,Office available responsibility adult.,2025,https://doi.org/10.1000/559432,492,Conference,20,1133;602;800;958
67,Safe want evidence follow.,2025,https://doi.org/10.1000/324769,183,Journal,31,723;419;1645;1409;1380;1489;260;61
68,Realize leg subject.,2008,https://doi.org/10.1000/483362,172,Journal,42,745;1387;1016;686;654;1886;423;1031;447
69,Again key least of personal follow much.,2004,https://doi.org/10.1000/850400,22,Journal,24,1862;1081;1006
70,Miss debate news.,1993,https://doi.org/10.1000/543765,401,Conference,27,1616;732;199;1316;1939;1221
71,Shake point next.,2023,https://doi.org/10.1000/119762,235,Journal,47,420;845;681;393;712;1630;1542;1196;294
72,Hope difference bag property collection.,2014,https://doi.org/10.1000/757808,325,Conference,46,1745
73,Whole tend however.,2025,https://doi.org/10.1000/966298,408,Conference,50,1944;1067
74,Wrong someone forget million poor sign.,2015,https://doi.org/10.1000/386668,10,Conference,35,675;67;1029;550;244
75,Deal still station really avoid study.,2006,https://doi.org/10.1000/545054,372,Conference,9,261;255
76,Issue each hundred item cold without.,2010,https://doi.org/10.1000/531522,471,Conference,50,1336;822;290;1807;1463;58;1732;1705;313;1557
77,Every than rest recognize.,2015,https://doi.org/10.1000/312985,184,Conference,44,1689;1633;1833;1004;234
78,Court green present its father.,2009,https://doi.org/10.1000/875318,45,Conference,12,1367
79,Daughter production executive difficult must standard.,2004,https://doi.org/10.1000/411283,38,Journal,45,650;1433;1513;752;152;1385;1419;1403
80,Painting point attack turn decide generation.,2013,https://doi.org/10.1000/619946,80,Journal,28,1649;1577;98;163;639;719;619;472;1444
81,Push conference rather attention compare.,2017,https://doi.org/10.1000/244584,187,Conference,4,1451;1864;758;1259;1625;1646;1748;169;1039;905
82,Become follow position cost.,2019,https://doi.org/10.1000/596914,116,Journal,23,1654;1860;1361;1186;1120;136
83,Reach how seem watch top.,1992,https://doi.org/10.1000/184765,8,Conference,26,90;1785;281;1752;1116;1144;46;1067
84,Old worry task best seem beyond.,2022,https://doi.org/10.1000/132981,346,Conference,6,1941;1065;783;1855;269;1867;922;1617
85,Fund something example staff worry media kid.,1998,https://doi.org/10.1000/577113,423,Journal,50,1171;318;1354;1397;417
86,Listen candidate operation company experience present.,2015,https://doi.org/10.1000/269740,163,Conference,13,380;28;1819;1440;1793
87,Face field drug good.,2015,https://doi.org/10.1000/519394,404,Journal,20,1808;111;685;720
88,Our store experience player.,2006,https://doi.org/10.1000/988889,426,Conference,34,1901;1386;564;129;1688;260;1246;1906
89,North gas administration.,1992,https://doi.org/10.1000/155625,90,Journal,36,1867;912;1224;1691;1742
90,Get nor southern.,1999,https://doi.org/10.1000/982816,286,Conference,13,15;1922;1747;978;853;1776;652
91,One along example loss unit.,2013,https://doi.org/10.1000/110427,290,Conference,4,1608;367;494;124;1704;1682;274
92,Various film decide voice describe.,2024,https://doi.org/10.1000/363545,163,Journal,44,1082;1899;157;567;1990;269;1592;1185
93,Improve hit idea authority something.,1995,https://doi.org/10.1000/119928,280,Conference,47,37;980
94,Day support gun certain.,1997,https://doi.org/10.1000/134762,100,Journal,48,626;287
95,Star bed trip especially.,2004,https://doi.org/10.1000/133116,183,Conference,4,319;1070;1333;965;95
96,Nice bit wonder.,1992,https://doi.org/10.1000/569686,195,Journal,3,1402;1117;1001;168;886;663
97,Environment according west spring reflect know.,2000,https://doi.org/10.1000/774250,110,Journal,3,1979;751;569;59
98,Very also sister individual building.,2022,https://doi.org/10.1000/157784,216,Conference,43,196;16;903;1176;1596;308;1808;553;1029;470
99,Raise suggest news.,2014,https://doi.org/10.1000/873567,137,Conference,22,582
100,Speech attention crime skin if continue.,1993,https://doi.org/10.1000/679680,460,Journal,16,1537;1643
101,Your offer say.,2020,https://doi.org/10.1000/325195,25,Conference,48,1323
102,Wife number picture significant.,2025,https://doi.org/10.1000/179096,481,Conference,7,1954;541;1967;644;1121;1190;1695;1197;469;690
103,Risk smile politics what.,2011,https://doi.org/10.1000/870165,299,Journal,42,1566;643;220;377;705
104,Consumer site stay.,2015,https://doi.org/10.1000/389929,116,Conference,21,347;481;1413;769
105,Play notice fight study item.,2005,https://doi.org/10.1000/840077,487,Conference,49,1772;966;1862;1312;275;1771;1629
106,Democrat lay billion enjoy future clearly.,2011,https://doi.org/10.1000/669587,197,Journal,18,1522;1596;313;1813
107,Land network quickly.,2004,https://doi.org/10.1000/587890,207,Journal,24,247;1260;1486;402;528;964;1068;787;912
108,Sense almost which ball quality.,2025,https://doi.org/10.1000/849343,452,Conference,11,1476;255;560;1474;1684;1167;1598;1734
109,Toward remember cup worry body billion.,2018,https://doi.org/10.1000/198214,203,Conference,17,1384;961;754;999;1283;21;858
110,Staff material assume idea information as.,2002,https://doi.org/10.1000/477132,488,Conference,33,1260;741;1499;480;1152;1155;1400;1361;155;1234
111,Speech enough others federal force time.,2020,https://doi.org/10.1000/197882,2,Journal,50,108;1711;582;1618;1934;1958;752;225;130;468
112,Summer kid face ok world.,2013,https://doi.org/10.1000/518204,61,Conference,19,59;359;1046;658;323
113,Only month a despite national find.,2003,https://doi.org/10.1000/154216,194,Conference,34,1151
114,Bill keep thus future up.,2013,https://doi.org/10.1000/872640,500,Journal,34,1150;847
115,With office to.,2008,https://doi.org/10.1000/137718,61,Conference,1,1154;238;340
116,Condition thousand heavy power Democrat foreign.,1990,https://doi.org/10.1000/146473,212,Conference,22,183;1773;1718;260;303;595
117,Letter question material director.,1997,https://doi.org/10.1000/377901,400,Conference,1,1650;736;1707;1027
118,Thank itself bit girl full.,2014,https://doi.org/10.1000/494830,458,Journal,20,928;260;580;911;1532
119,Arrive stay fight.,2019,https://doi.org/10.1000/501871,97,Conference,33,107;250;532;1778;116;497;1186;867
120,Everybody radio produce.,2020,https://doi.org/10.1000/615554,41,Conference,5,1937;75;1719;78;731
121,Recent necessary ago lay.,2013,https://doi.org/10.1000/682245,97,Conference,43,333;718;1942;960;1063;798
122,Tv letter stock Republican no from.,2002,https://doi.org/10.1000/200103,3,Journal,3,808;177;426
123,Nation offer majority one test.,2022,https://doi.org/10.1000/914445,490,Journal,17,1064;156;935;1745;929;1516;951
124,High floor why capital happy better.,2021,https://doi.org/10.1000/221405,439,Journal,42,748;1368;81;1381
125,Current quality affect.,2015,https://doi.org/10.1000/704851,348,Journal,5,1528;944;68;858;1488
126,Smile understand lot lawyer identify part.,1996,https://doi.org/10.1000/734752,456,Journal,17,1840;1821;1379;1378;699;767;910;1064
127,Fast move well time.,2010,https://doi.org/10.1000/776527,387,Conference,40,1138;1814;1130;1384;591;1229;449;877;861;1045
128,Remain money occur before should.,2008,https://doi.org/10.1000/812640,116,Conference,5,1167;430;983;350;1326;1308;182;1498;530
129,Political spend fast.,2023,https://doi.org/10.1000/714081,472,Journal,50,1517;868;1498;39;112;135;1819
130,Attorney analysis international then I.,1994,https://doi.org/10.1000/787534,447,Conference,27,709;924;82;353;579;257;52;261;288;1848
131,The run finally travel policy tend.,1994,https://doi.org/10.1000/500013,419,Conference,23,1144
132,Crime dinner even them.,1999,https://doi.org/10.1000/539394,375,Journal,4,73;1952;1176;1547;1275;322;499
133,Until matter senior simply.,2010,https://doi.org/10.1000/388733,388,Conference,41,378;471
134,Challenge without support.,1990,https://doi.org/10.1000/235400,70,Journal,14,1822;210;114;100;1081;783
135,Really agency special technology goal citizen.,2016,https://doi.org/10.1000/433752,392,Conference,26,573;1103;176;1622;959;155;1418;106;540
136,Hear second defense Congress newspaper sing.,2017,https://doi.org/10.1000/478009,25,Journal,50,1234;1263;1322;1020;1641;1296
137,It garden southern technology.,2003,https://doi.org/10.1000/967786,23,Conference,23,844;1494;474;418;758;946;1837;9;20;1428
138,A low college.,2004,https://doi.org/10.1000/126454,462,Conference,4,1041;1787;1611;125;1649;70;77;620;906
139,Hair best total dog.,1999,https://doi.org/10.1000/980691,61,Conference,9,1241
140,At glass decade.,1992,https://doi.org/10.1000/934849,491,Conference,30,1710;1204;414;1129
141,So edge similar.,2018,https://doi.org/10.1000/523532,477,Journal,16,765;89;1352;675;1256
142,Consider total like long major.,1998,https://doi.org/10.1000/596438,96,Journal,49,1614;686;1612;1793;1457
143,Give mean when court.,2021,https://doi.org/10.1000/699425,284,Journal,44,874;1355;1540;404;1217;1952
144,Herself wrong eat another throughout.,1990,https://doi.org/10.1000/347254,279,Journal,30,240;368;1867;1673;1755;1949;1153;905;313
145,Today boy build want ball quite.,2021,https://doi.org/10.1000/413289,274,Conference,5,1929
146,Keep nature energy hot against minute.,2004,https://doi.org/10.1000/517299,395,Journal,38,1929;1950;1547;93;923;120;134
147,History know loss our trial.,1991,https://doi.org/10.1000/319083,210,Journal,33,1948
148,Mouth make operation.,2009,https://doi.org/10.1000/764175,176,Conference,34,957;601;1807;1419
149,Perhaps drop difficult.,1996,https://doi.org/10.1000/649358,125,Conference,30,1197;1624;275;481;517;208;608
150,Treat culture save.,1997,https://doi.org/10.1000/273273,412,Conference,34,1537;199;1426;1022;1495;824;1996;1805;1665;1615
151,Seat around on town what yard.,1990,https://doi.org/10.1000/870701,346,Conference,9,1073;1709;232;1633;609;612;1412;1959;1770;1982
152,Although mind piece worker.,2025,https://doi.org/10.1000/156809,308,Conference,13,79;1809;1695;1761;1114;1531;1496
153,South accept kitchen police world opportunity.,2010,https://doi.org/10.1000/254613,349,Journal,16,736
154,Themselves air court especially nor.,1999,https://doi.org/10.1000/817339,41,Conference,28,470;1646;1345
155,Fear defense yourself.,2015,https://doi.org/10.1000/431022,12,Conference,21,553;575;1407;1644;291;1646
156,Community father bed bed.,2022,https://doi.org/10.1000/978924,115,Conference,40,1741;1472;708;559
157,Include can floor.,1994,https://doi.org/10.1000/408007,31,Journal,4,694;1785;47;1320
158,Little up wait themselves leg capital.,2014,https://doi.org/10.1000/617340,220,Conference,5,1727;1814;1514;430;745
159,Reduce car population face.,1996,https://doi.org/10.1000/872721,433,Conference,28,562;1268;640;947;959;594;1750
160,Happen order suggest admit.,2019,https://doi.org/10.1000/367156,428,Conference,11,1121;253;574;1088;319;266;1524;872;128;1785
161,Eye toward cause whose sign.,1996,https://doi.org/10.1000/166531,391,Journal,16,1316;653;146;1897;766;167;1563;1907;356
162,Imagine success few.,1990,https://doi.org/10.1000/139283,473,Journal,34,588;1461;844;63;1535
163,Half ask store possible tree.,2012,https://doi.org/10.1000/790976,121,Journal,48,1362;655;494;1457
164,Rule plant everyone those data.,2020,https://doi.org/10.1000/338387,196,Journal,44,682;1314;166
165,Full song upon improve.,2018,https://doi.org/10.1000/442805,430,Journal,25,1874;334;81;668;754;813;1940;1962;321
166,Team few respond everything hair.,2015,https://doi.org/10.1000/818504,63,Conference,33,760
167,Call government exactly section home move.,2002,https://doi.org/10.1000/653415,178,Conference,8,950;1586;874
168,Rise conference speech city natural set.,1991,https://doi.org/10.1000/257324,86,Journal,32,947;64;1665;980;1369;1570;1507;521
169,Home interest trade capital.,2013,https://doi.org/10.1000/877498,278,Journal,5,119;8;1783;1276;1326;1569
170,Commercial same officer family.,2017,https://doi.org/10.1000/496036,154,Journal,48,984;1821;432;1071;875
171,Time employee like need everyone out.,2015,https://doi.org/10.1000/385338,463,Conference,8,1976;1772
172,Exist role available old.,2009,https://doi.org/10.1000/400306,486,Conference,27,673;448
173,Be perform I likely no.,2025,https://doi.org/10.1000/850380,154,Journal,41,891;1699;235;435;389;437
174,Analysis determine how often.,2021,https://doi.org/10.1000/967135,283,Conference,28,1074;597;546
175,Cold pass father store federal.,2006,https://doi.org/10.1000/303806,481,Conference,2,1147;402;1710;1732;283;581
176,Large other area.,2015,https://doi.org/10.1000/961164,287,Journal,49,1205;145;883;1147;1886
177,Growth too support individual character.,2014,https://doi.org/10.1000/324355,324,Conference,33,1888;1135;662;1653
178,Evening hotel close job believe.,1999,https://doi.org/10.1000/255768,434,Conference,36,556;536;199;1765;806;1882;663;1671;1348
179,Also just miss Democrat common.,2022,https://doi.org/10.1000/522812,288,Journal,2,1908;535;824;897;1355;1141;1104;793
180,Federal really together perhaps subject.,2012,https://doi.org/10.1000/701923,154,Conference,4,18;1832;143;556;895;734
181,From story use.,1996,https://doi.org/10.1000/486615,144,Conference,24,693;487;32;516
182,Production suffer exactly whose positive.,2015,https://doi.org/10.1000/972034,316,Journal,30,1044;769;1927;1626;227;863;1572;1424;42;1366
183,Myself offer artist industry fill.,2015,https://doi.org/10.1000/885217,217,Conference,11,1978;73;1308
184,Attack positive various sort improve.,1993,https://doi.org/10.1000/907967,36,Conference,8,191;1330;1872;491;1179;1862;554;369;509
185,Scientist truth walk.,2005,https://doi.org/10.1000/234674,488,Conference,25,331
186,Seem century key especially want rest.,2022,https://doi.org/10.1000/255255,160,Journal,31,1889;329;417;1511;1887;541;622;1069
187,Thank another local color difference increase.,2011,https://doi.org/10.1000/614404,196,Journal,5,170;390;866;1043;1282;1151;609;386
188,Large social detail full.,2008,https://doi.org/10.1000/586955,72,Conference,36,1352
189,Production figure like generation.,1991,https://doi.org/10.1000/801453,325,Journal,23,1406;702;81;1767;4;356;813
190,We himself nature accept fly.,1998,https://doi.org/10.1000/728680,196,Journal,20,1904;1857;985;82;1075;90;1293;1336;550;1742
191,Should school among.,2015,https://doi.org/10.1000/556845,278,Conference,34,489;1492
192,View themselves bit open.,2003,https://doi.org/10.1000/164553,328,Conference,50,85;2000;226;1005;665
193,Hundred truth near.,1992,https://doi.org/10.1000/168092,61,Journal,19,1784;704;123;1616;1812;565;1434
194,Beyond group amount pay name.,2008,https://doi.org/10.1000/173295,95,Conference,30,59;1810;1260;1117;1683;1144
195,Such reflect wonder upon.,1991,https://doi.org/10.1000/744281,184,Journal,4,1061;1263;441;322;1441;40;751;1966;1601;562
196,Least might indeed might upon.,1999,https://doi.org/10.1000/939989,313,Journal,10,814;166;329;1059;83;611;1166
197,Ball Congress bad property health thousand.,2009,https://doi.org/10.1000/231962,290,Journal,32,489;962
198,Without each second it.,2007,https://doi.org/10.1000/179854,68,Conference,36,1811
199,Kitchen usually standard mind to.,2019,https://doi.org/10.1000/562085,437,Conference,1,1742;77;383;870;1296
200,City step record accept however.,2005,https://doi.org/10.1000/921179,447,Journal,16,466
201,Election option success.,1999,https://doi.org/10.1000/253349,324,Journal,26,116;1169;619;1238;1048;1839;907;231;1648
202,Last must moment such PM.,2002,https://doi.org/10.1000/763492,311,Conference,15,1711
203,Can work better ever general.,2003,https://doi.org/10.1000/204583,84,Journal,11,584;36;659;1381;1139;384;937;1005;1870
204,Suffer view how marriage.,1990,https://doi.org/10.1000/663399,482,Conference,3,106;1335;790
205,Approach you first listen inside next movie.,2016,https://doi.org/10.1000/285072,35,Conference,15,794;920;203;655;639;663
206,Man protect view analysis even memory.,2009,https://doi.org/10.1000/192419,245,Conference,35,1037;367;33;121;629;429;766;307;1453;703
207,Of air side meeting.,2000,https://doi.org/10.1000/860664,307,Conference,43,290;1372;568;1039
208,Day image factor quality between.,2018,https://doi.org/10.1000/818021,327,Journal,18,1626
209,Decide clearly the memory wonder player.,2012,https://doi.org/10.1000/986793,180,Conference,11,98;1616;486;1850;1924;918
210,Kind agent make with.,2018,https://doi.org/10.1000/787094,351,Journal,7,1726;183
211,Section office positive.,2023,https://doi.org/10.1000/696475,29,Journal,43,198;1837;845;1145;560;1959
212,Music for talk star.,2025,https://doi.org/10.1000/468666,209,Journal,15,330;333;487
213,Couple and clear.,2000,https://doi.org/10.1000/283968,402,Journal,19,415;1511;1520;1712;615;1244;255
214,Assume he not reality expert.,2017,https://doi.org/10.1000/951315,4,Journal,12,1038;779;964;365
215,Hour run almost church trouble.,1999,https://doi.org/10.1000/966981,496,Journal,2,647;1112;1291;1571;217;800
216,Wall shoulder example few really.,2013,https://doi.org/10.1000/534304,163,Conference,1,1623;1319;526;1035;118
217,Letter audience each though themselves.,1991,https://doi.org/10.1000/843993,381,Conference,11,661;1582;1027;1873;497;805;239;793;1200;1328
218,Might popular simply kitchen.,2004,https://doi.org/10.1000/474834,297,Conference,31,925;1724;1482;1787;973;1386;1319;303
219,Provide authority best.,2008,https://doi.org/10.1000/574791,42,Journal,3,1864;573;460;268;1373;855;611;1827;488;292
220,Mr level about government side.,2009,https://doi.org/10.1000/678008,471,Journal,46,1062;1717;831;1379;1363;1211
221,Per rate traditional him decision.,2025,https://doi.org/10.1000/765852,209,Conference,20,89;1862;1272;1839;1929;1487;1789;872;1404;286
222,Student along across skill performance fear.,2000,https://doi.org/10.1000/880350,36,Journal,44,1522;288;1553;1125;607;1499;1127;312;376
223,Sing help tough.,2023,https://doi.org/10.1000/444374,290,Journal,10,939;680;1963;1745;774
224,To cell news citizen.,2020,https://doi.org/10.1000/602254,163,Conference,28,390;1158;1022
225,Bit father human.,2014,https://doi.org/10.1000/493940,306,Conference,25,1052;1388;1031;213;322;970;1210
226,Write skill push sister.,1995,https://doi.org/10.1000/827398,481,Conference,22,1488;1345;709;800;1558
227,Poor challenge when hand.,2025,https://doi.org/10.1000/272066,483,Journal,35,1468;524;1797;33;766;57;1754;19
228,Customer whose nation class.,2012,https://doi.org/10.1000/860587,321,Conference,35,436;1330
229,Write dark detail investment character.,2025,https://doi.org/10.1000/927590,38,Journal,19,481;1699;922;1775;894;435
230,Able role ten skill imagine hand.,2012,https://doi.org/10.1000/973822,192,Journal,9,1400;1158;899;1738;1092;1560;1424;391;570;782
231,Arrive mission board out school.,2023,https://doi.org/10.1000/245351,465,Conference,15,904;1972
232,Success apply wide note.,2012,https://doi.org/10.1000/119628,367,Conference,37,920;522
233,Far day several close.,1997,https://doi.org/10.1000/718056,431,Conference,43,1765;464;891;1002;884;1803;1727;1579;1085;738
234,Research suddenly artist skill example forget.,2000,https://doi.org/10.1000/207808,284,Conference,6,1120;1382;1866;1798;1346
235,Recently happen draw data political.,2024,https://doi.org/10.1000/142302,408,Journal,46,1712;1686;1680;812;1705;1500;1292;211;1176;632
236,Population successful security send difference.,1997,https://doi.org/10.1000/888691,424,Journal,49,337;1062
237,Return job reality.,1994,https://doi.org/10.1000/870482,246,Conference,10,1339;294;1055;1738;1647;644
238,Myself action any message.,1997,https://doi.org/10.1000/255865,234,Conference,14,797;1367;1251;559;1724;192;1421;1552
239,Prove pay affect.,2023,https://doi.org/10.1000/228030,410,Journal,14,500;1123;288;510;104
240,Trip I economy behavior.,1993,https://doi.org/10.1000/776212,263,Conference,37,81
241,Try huge cut those.,1995,https://doi.org/10.1000/349817,386,Conference,22,56;1925
242,Fear image know.,2003,https://doi.org/10.1000/398436,428,Conference,18,526;1555
243,Gas identify section community president moment.,1992,https://doi.org/10.1000/814975,206,Conference,23,1362;29;1743;874;411;1053;158
244,Ground include try.,2015,https://doi.org/10.1000/563150,380,Journal,38,1399;1404;404;1222;1;1672;742;587;1521;505
245,Large mother family radio education stage.,2001,https://doi.org/10.1000/859198,411,Conference,46,368;76
246,If instead nature.,2008,https://doi.org/10.1000/749033,139,Journal,25,981
247,Available theory old design.,2019,https://doi.org/10.1000/936959,491,Conference,29,205;1619;1733;832;549;1786;1290
248,Partner necessary down report there show.,2012,https://doi.org/10.1000/623655,309,Conference,22,122;542;480;1748;1876
249,People anything vote social.,1992,https://doi.org/10.1000/117110,465,Journal,47,1319;804;1066;1055;1939
250,Deep night beautiful thing south.,2001,https://doi.org/10.1000/565945,231,Conference,18,1697;482;421
251,Material no order production around.,2008,https://doi.org/10.1000/549187,222,Conference,7,134;1531;494
252,Available year should agency.,2025,https://doi.org/10.1000/717641,435,Conference,21,755;1823;1292;1010;1491;716;1575;16
253,Develop else example son day upon.,2024,https://doi.org/10.1000/259445,149,Journal,25,320;789;172;898;1873
254,Usually audience material lay back as.,2017,https://doi.org/10.1000/980290,149,Journal,17,1916;1484;1723;118;1151;1849;55
255,Let campaign value learn process.,2015,https://doi.org/10.1000/998870,20,Conference,50,1723;119;1290;457;1230;1875
256,Team well require.,1999,https://doi.org/10.1000/306572,213,Conference,3,1781;1628;1424;707;1380;1191;725;820;582;759
257,Where type affect another trial.,2014,https://doi.org/10.1000/807445,292,Conference,6,1026;685;869;1342;1063;149;1921
258,People per hit nothing.,2017,https://doi.org/10.1000/150645,456,Journal,47,1099;1398;1660;224;1102;1956
259,Moment standard leg nature stay discover.,2000,https://doi.org/10.1000/143978,90,Conference,2,1537;1589;999;1160;1101;1458;645
260,Fact whatever whatever training.,2016,https://doi.org/10.1000/467952,403,Journal,19,1208;472;665;788;1496;1298;1212;569;1356
261,Film view increase to.,2019,https://doi.org/10.1000/600761,458,Journal,32,1463;1916;1086;308;588
262,Stay force recently agree.,2023,https://doi.org/10.1000/839244,86,Journal,49,132;971;1056;269
263,Human who bring artist major season.,2002,https://doi.org/10.1000/254952,399,Journal,8,460;819;1353;27;802;1603;1349;1283
264,Newspaper low eight rise administration back.,2007,https://doi.org/10.1000/321397,429,Conference,47,1590;356;185;764;290;1313
265,Serious number spring.,2022,https://doi.org/10.1000/200271,288,Journal,14,738
266,Someone life require second including.,2019,https://doi.org/10.1000/534586,380,Journal,41,407;1277;1003;641;734;866;231;1517;329
