id,title,year,n_citation,doc_type,reference_count,references,doi
2136633702,Density and bounds for Grassmannian codes with chordal distance,2011.0,5,Conference,13.0,1966907097;2014328577;2035469609;2045512849;2074863717;2075416888;2111367642;2121743251;2130521103;2133214726;2142361128;2162876202;2169448252,https://doi.org/10.1109/ISIT.2011.6033971
2089160254,Fuzzy Goals for Requirements-Driven Adaptation,2010.0,179,Conference,19.0,1605178129;1668140416;1771872677;1819146036;1855537938;1980079693;1984318567;2023808162;2040875784;2070635799;2085231017;2098895708;2115774534;2129289644;2134716336;2148566119;2163784380;2222782578;2912565176,https://doi.org/10.1109/RE.2010.25
2091697355,A Cross-Cultural Analysis of Communication Tools and Communication Outcomes,2012.0,7,Journal,42.0,1523856279;1543672175;1552483424;1556059019;1560399303;1561703855;1567555513;1573848227;1625882897;1768658168;1969885045;1978616753;1983205204;1990451534;1990614435;1999484385;2017970121;2036038819;2037567879;2044767410;2054515376;2067311739;2074615187;2080491437;2089839489;2099801310;2100795105;2108826260;2111889955;2114580372;2114772011;2117369957;2126035714;2129842802;2132277798;2139654770;2151607493;2152293554;2155426269;2155595349;2170177456;2771343118,https://doi.org/10.4018/jgim.2012070103
2247559002,Throughput Analysis of Hybrid-ARQ—A Matrix Exponential Distribution Approach,2016.0,22,Journal,21.0,1534925464;1974997788;2016998946;2018255692;2042332209;2061125936;2068728923;2078191478;2088719955;2098209000;2100739124;2106565812;2109513984;2116489737;2125955954;2151222548;2166237723;2168738552;2171368841;2172119453;2951573086,https://doi.org/10.1109/TCOMM.2015.2501294
2313009484,Integration of Process Model and CIM to Represent Events and Chronology in Power System Processes,2018.0,0,Journal,12.0,1964913067;1968161817;1970654604;2020916311;2065996260;2078025235;2082901517;2095115739;2106345431;2123461755;2139191533;2400241326,https://doi.org/10.1109/JSYST.2016.2535719
2246359396,A Combined Approach for Filter Feature Selection in Document Classification,2015.0,2,Conference,17.0,1661871015;1826790618;2002352636;2010836425;2013390089;2063214659;2093452304;2098162425;2108150588;2118020653;2120011452;2133990480;2149684865;2149706766;2158140178;2162223169;2435251607,https://doi.org/10.1109/ICTAI.2015.56
1565479544,ERX-QL: Querying an Entity-Relationship DB to Obtain XML Documents,2001.0,1,Conference,12.0,57507097;81479228;1480714567;1497265935;1508914815;1568367777;1579307899;1587979865;1836729069;2030406093;2059224798;2165286227,https://doi.org/10.1007/3-540-46093-4_17
2055621992,Missing categorical data imputation approach based on similarity,2012.0,6,Conference,6.0,1522251376;1758524554;2053623704;2095290023;2103514965;2162297990,https://doi.org/10.1109/ICSMC.2012.6378177
2122424648,From an abstract object-oriented model to a ready-to-use embedded system controller,2001.0,10,Conference,10.0,1505190676;1523762495;1857934442;1973765637;2044555065;2108475083;2115670522;2116307413;2135855981;2142292042,https://doi.org/10.1109/IWRSP.2001.933852
1527571059,Using IDEF0 to enhance functional analysis in M OISE + organizational modeling,2006.0,1,Conference,14.0,1489074606;1494169387;1607829434;1831175496;1898986177;1972690797;2018691949;2056459363;2129211509;2130766754;2159765281;2400585234;2520209584;2521905826,https://doi.org/10.1007/11874850_12
2809536883,WiVo: Enhancing the Security of Voice Control System via Wireless Signal in IoT Environment,2018.0,9,Conference,17.0,1604275567;2022217943;2025621754;2046128267;2108665278;2473779510;2486441166;2526606216;2536166232;2575585029;2624801495;2734730826;2735454016;2736051620;2751902866;2761782810;2765636281,https://doi.org/10.1145/3209582.3209591
2138159499,A Switch Criterion for Hybrid Datasets Merging on Top of Map Reduce,2009.0,4,Conference,5.0,1556640847;1861377444;2098935637;2114303224;2154894831,https://doi.org/10.1109/GCC.2009.28
2116599779,Enforcing integrability for surface reconstruction algorithms using belief propagation in graphical models,2001.0,45,Conference,14.0,1560512119;1859094955;1974195097;2079877940;2098387242;2102251435;2106042990;2118304946;2134700719;2135764410;2138127543;2154885188;2175160295;2599339667,https://doi.org/10.1109/CVPR.2001.990550
2032814004,An integral representation of functions using three-layered networks and their approximation bounds,1996.0,33,Journal,6.0,1613359937;1971735090;2077390566;2103496339;2108959409;2166116275,https://doi.org/10.1016/0893-6080(96)00000-7
2154226293,Positioning Accuracy Improvement With Differential Correlation,2009.0,12,Journal,7.0,2099870357;2102152292;2113798083;2121760286;2124749135;2154355259;2162872701,https://doi.org/10.1109/JSTSP.2009.2023342
2300086073,Ethical Design in the Internet of Things,2018.0,38,Journal,14.0,278235758;877640216;1054204898;1519565400;2003301518;2012909998;2055784661;2062238731;2080709611;2097427281;2104927807;2150317932;2252331149;2264166809,https://doi.org/10.1007/s11948-016-9754-5
2963218483,PatchNet: A Tool for Deep Patch Classification,2019.0,1,Conference,10.0,1832693441;2111107104;2128182542;2130652100;2137444776;2395791174;2511803001;2618735982;2729710884;2741676187,https://doi.org/10.1109/ICSE-Companion.2019.00044
2606227366,Automatic identification of variables in epidemiological datasets using logic regression,2017.0,0,Journal,1.0,1985533374,https://doi.org/10.1186/s12911-017-0429-1
2011218133,A comparative study on multi-regression analysis and BP neural network of PM2.5 index,2014.0,0,Conference,2.0,1575772124;2118756059,https://doi.org/10.1109/ICNC.2014.6975827
2275299213,"Concepts, services, and underlying network for a daily life support system for citizens",2016.0,2,Journal,4.0,1549535141;2014550373;2022318042;2671731656,https://doi.org/10.1007/s11227-016-1667-1
2123064457,Computer architecture design for robotics,1988.0,14,Conference,15.0,1507744716;1836580599;1975511671;2097754183;2100104763;2107018454;2122149322;2124092695;2124862575;2125713266;2131692343;2150871235;2155847561;2161173035;2162127617,https://doi.org/10.1109/ROBOT.1988.12092
2903826272,Semantic segmentation of trajectories with improved agent models for pedestrian behavior analysis,2019.0,0,Journal,19.0,1922838137;1991133427;2022749020;2036536917;2046466133;2079023123;2092272787;2126194848;2133235827;2136317921;2143394441;2155195832;2161581167;2339065330;2424778531;2467483865;2518708963;2607296803;2787909218,https://doi.org/10.1080/01691864.2018.1554508
2188373392,Distributed spectrum access in dense 5G networks,2015.0,4,Conference,8.0,1981104527;2010630450;2013366448;2047005058;2054692642;2084099189;2158510188;2963229748,https://doi.org/10.1109/PIMRC.2015.7343609
2056203544,Towards a social iTV service: exploring user acceptance and changing media experience,2011.0,0,Journal,12.0,23736733;1729009201;1985749074;2014856803;2075061389;2087981299;2104613347;2111083273;2116246153;2117795967;2149770420;2342091124,https://doi.org/10.1504/IJART.2011.041481
2129464117,Simulink-based MPSoC Design: New Approach to Bridge the Gap between Algorithm and Architecture Design,2007.0,14,Conference,5.0,2048922435;2090242529;2127009070;2148640617;2172252595,https://doi.org/10.1109/ISVLSI.2007.90
1522472754,ACS: An adaptive communication system for heterogeneous wide-area ATM clusters,1999.0,2,Journal,22.0,3548905;179087193;1555449224;1556341445;1593190267;1964564149;2022792326;2030749335;2050817148;2057081379;2077982907;2098228070;2108167744;2108186123;2114728910;2121538989;2122960384;2128705754;2134323418;2143160644;2151355704;2155066383,https://doi.org/10.1023/A:1019091011824
2170459837,A deterministic two warehouse inventory model for deteriorating items with stock-dependent demand and shortages under the conditions of permissible delay,2011.0,23,Journal,4.0,1978415596;2005790143;2031657359;2033020716,https://doi.org/10.1504/IJMMNO.2011.043084
2536042810,On lower bounds computation for the Discrete Cost Multicommodity Network Design Problem,2016.0,1,Conference,18.0,1964062286;1975080373;2016218947;2016885155;2019698010;2023213802;2027328792;2030995871;2055821779;2058748455;2060030554;2064035628;2089233175;2117768313;2127635925;2135561000;2139935705;2153513520,https://doi.org/10.1109/CoDIT.2016.7593615
2752433009,Speech enhancement using Rao–Blackwellized particle filtering of complex DFT coefficients,2017.0,0,Journal,13.0,1985090574;2010243737;2034149345;2058502470;2079700893;2092232734;2118454255;2126736494;2131132575;2134925458;2145585502;2149535104;2151500768,https://doi.org/10.1016/j.compeleceng.2017.07.024
2803017656,Human Behaviour-Based Automatic Depression Analysis Using Hand-Crafted Statistics and Deep Learned Spectral Features,2018.0,10,Conference,25.0,81359396;1488266690;1606858007;1976066595;1991060033;1995562189;2000149402;2043080619;2056403322;2084242110;2096976598;2136040699;2136409902;2157735101;2163928333;2280620570;2291466689;2346454595;2395639500;2530305026;2530421149;2531271152;2551393996;2570412145;2593853439,https://doi.org/10.1109/fg.2018.00032
2908598672,Supposed Maximum Mutual Information for Improving Generalization and Interpretation of Multi-Layered Neural Networks,2019.0,2,Conference,27.0,1825675169;1979191599;1979812372;1986178142;2042524010;2063046703;2076063813;2088736299;2099741732;2102131386;2108384452;2112324008;2122925692;2123649031;2123806929;2133459316;2144212877;2144914634;2149772057;2156483112;2249286871;2516459222;2533120240;2552652437;2597403208;2757033171;2785601041,https://doi.org/10.2478/jaiscr-2018-0029
2534571943,A unified delay model for CMOS logic styles,2003.0,1,Conference,1.0,2097749440,https://doi.org/10.1109/ICECS.2003.1301926
2002926244,A new class of locally decoupled Gough-Stewart platform manipulators,2012.0,4,Conference,13.0,1975468089;1986689081;2019800455;2098766157;2103660764;2105918267;2111455515;2116823784;2126800480;2142553964;2150797032;2155036992;2161608402,https://doi.org/10.1109/IROS.2012.6385468
1999560263,First and Third Person Perceptions on Anti-Drug Ads Among Adolescents,2008.0,32,Journal,1.0,2082840361,https://doi.org/10.1177/0093650207313158
2217777853,Privacy-friendly secure bidding scheme for demand response in smart grid,2015.0,4,Conference,20.0,189402627;1460388829;1547588111;1598262674;1600910872;1646354800;1842704946;1973502285;1983913981;1993673439;2009793926;2030846484;2031197279;2042986815;2050145155;2052333713;2055817410;2077840813;2108834246;2327618738,https://doi.org/10.1109/ISC2.2015.7366208
1987079536,Presynaptic inhibition balances the trade-off between differential sensitivity and reproducibility,2012.0,1,Conference,4.0,1988241771;2022004025;2067463092;2128432504,https://doi.org/10.1109/SCIS-ISIS.2012.6505222
2603945816,Stochastic Optimization for the Daily Joint Operation of Wind/PV and Energy Storage,2017.0,0,Conference,2.0,2032392609;2467644719,https://doi.org/10.1007/978-3-319-56077-9_27
2781112128,The maximum diameter of pure simplicial complexes and pseudo-manifolds,2016.0,0,Journal,6.0,1995397633;2061130206;2094525238;2109784667;2151888904;2304796618,https://doi.org/10.1016/j.endm.2016.09.038
2041908271,Distributed multimedia and QOS: a survey,1995.0,294,Journal,14.0,1563166053;1790544354;1817952983;1972591225;2009025270;2037372628;2040903332;2066571032;2072683927;2095965877;2110840148;2144784178;2165465777;2169795600,https://doi.org/10.1109/93.388195
2570867094,What are health website visitors doing: insights from visualisations towards exploratory search,2016.0,1,Conference,12.0,298792108;1932144848;1982156928;1992017205;2017600743;2037802158;2075404321;2094755907;2113081107;2159572031;2167482691;2231873758,https://doi.org/10.1145/3010915.3011843
2083698132,A virtual surgical telesimulation in micrographic dermatologic surgery (MOHS),2003.0,2,Conference,1.0,2079760705,https://doi.org/10.1016/S0531-5131(03)00253-X
2089422149,Software Architecture and Subclassing Technique for Semiconductor Manufacturing Machines,2006.0,1,Conference,3.0,1963535201;2041669334;2052896100,https://doi.org/10.1109/ICINFA.2006.374141
1997838579,Emotion recognition from an ensemble of features,2011.0,39,Conference,18.0,1578985305;2002585172;2075688085;2106390385;2118585731;2121871678;2124079640;2129106196;2133775535;2147474239;2151103935;2153635508;2154412566;2156503193;2162418306;2166034132;2534547303;2543628786,https://doi.org/10.1109/FG.2011.5771365
147334206,Submillimeter Micropart Feeding Along an Asymmetric Femtosecond-Laser-Microfabricated Surface,2009.0,2,Journal,10.0,1847804836;2098904369;2103149672;2103731674;2127831907;2138173160;2149678673;2160679301;2168279172;2575993276,https://doi.org/10.20965/ijat.2009.p0151
2575467620,Proposal for fully sequential multiarm trials with correlated arms,2016.0,1,Conference,8.0,2042332971;2057564132;2072302356;2110674418;2146879621;2155927283;2311178916;2963126883,https://doi.org/10.1109/WSC.2016.7822401
2113995308,A traffic engineering approach based on minimum-delay routing,2000.0,34,Conference,7.0,1562069137;1728701145;1911069185;1971663816;2021136283;2159049132;2248064281,https://doi.org/10.1109/ICCCN.2000.885468
2552953893,A large family of cospectral Cayley graphs over dihedral groups,2017.0,2,Journal,3.0,1511107242;1985066172;2132317856,https://doi.org/10.1016/j.disc.2016.09.016
2060242778,Design of motion along parameterized curves using B-splines,2003.0,2,Journal,8.0,1968459306;2026277400;2050117150;2050984299;2075044090;2147774191;2150022317;2162648485,https://doi.org/10.1016/S0010-4485(02)00178-1
2102905107,RASTER: runtime adaptive spatial/temporal error resiliency for embedded processors,2013.0,20,Conference,18.0,1972375942;1974949612;1995958648;2016001987;2016737685;2033908103;2083004950;2100597484;2110460500;2116613705;2120566353;2125369517;2125778714;2142514482;2144512449;2152652532;2169184353;2540784783,https://doi.org/10.1145/2463209.2488809
1603944393,Model Reference Gain Scheduling Control of a PEM Fuel Cell Using Takagi-Sugeno Modelling,2014.0,2,Conference,5.0,1992995440;2068052921;2075032057;2079325629;2125275590,https://doi.org/10.1007/978-3-319-08852-5_53
2802510992,Sponsoring Mobile Data: Analyzing the Impact on Internet Stakeholders,2018.0,1,Journal,22.0,1505175849;1514848726;1603585558;1854712368;1964897391;1969713587;2002439138;2010653253;2048026410;2058615235;2120100578;2122011919;2131906699;2132534623;2138744708;2180742472;2311164729;2314643314;2491827891;2509511072;2553433973;2606929055,https://doi.org/10.1109/TNET.2018.2826531
2161285985,Analysis and consensus of currently available intrinsic protein disorder annotation sources in the MobiDB database,2013.0,14,Journal,17.0,1982714879;2048448217;2098449450;2098770192;2109872885;2110976912;2124879102;2134141065;2135087774;2137015675;2141885858;2144252381;2146637813;2152282874;2153261638;2156407548;2156465034,https://doi.org/10.1186/1471-2105-14-S7-S3
2944360993,The effect of global signal regression on DCM estimates of noise and effective connectivity from resting state fMRI,2019.0,0,Repository,17.0,1974105735;1980527160;1983208069;1995008852;2015822010;2020333990;2020519533;2071300176;2081718320;2087658007;2135173838;2169787465;2512138671;2557111525;2588517580;2790160000;2950870790,https://doi.org/10.1101/634063
1784575434,Features with feelings: incorporating user preferences in video categorization,2012.0,1,Conference,10.0,1970191301;1973693867;1990068484;1994694952;2035108077;2036931824;2097128017;2100454127;2116568452;2406592771,https://doi.org/10.1007/978-3-642-37431-9_43
2006238342,Erratum to “A time saving algorithm for the Monte Carlo method of Metropolis” [Computer Physics Communications 175 (2006) 116–121],2007.0,0,Journal,1.0,2055254589,https://doi.org/10.1016/j.cpc.2006.10.009
1998265503,Better Compliance Management Using Service Oriented Approach for Non-profit Organizations,2009.0,0,Conference,2.0,2001291669;2156418424,https://doi.org/10.1109/SERVICES-I.2009.118
101557183,Designing highly engaging ebook experiences for kids,2011.0,1,Conference,5.0,1604466906;1993451170;2020639717;2102570173;2115903714,https://doi.org/10.1007/978-3-642-24469-8_66
1535880852,In-place Linear Probing Sort,1992.0,3,Conference,9.0,1976258582;1985889636;1989640573;2023065712;2039976422;2061496873;2078473169;2151454836;2911850790,https://doi.org/10.1007/3-540-55210-3_214
2744394038,FingerTrips: Learning Geography through Tangible Finger Trips into 3D Augmented Maps,2017.0,3,Conference,4.0,2023412552;2113323428;2130877787;2394530037,https://doi.org/10.1109/ICALT.2017.118
2985254010,Semiparametric Stochastic CRB for DOA Estimation in Elliptical Data Model,2019.0,0,Conference,13.0,1972206072;1984614739;1992511687;2004681226;2020541544;2052364013;2105067039;2116414176;2124759134;2149755721;2611939839;2889696859;2972049331,https://doi.org/10.23919/EUSIPCO.2019.8903108
2128772847,An Approach to T&E of Military SDR Platforms and Waveforms: the LANCERS Lab,2016.0,0,Conference,2.0,2039814597;2107964142,https://doi.org/10.1007/s11265-015-1031-3
2084437293,A cooperative strategy for solving dynamic optimization problems,2011.0,17,Journal,12.0,1576692979;1964839117;2018774284;2028162268;2069900357;2073596026;2095300418;2115350182;2138134560;2160958384;2169245194;2768902402,https://doi.org/10.1007/s12293-010-0031-x
2069735471,"Second-order functional differential equations with past, present and future dependence☆",2011.0,4,Journal,6.0,2030080112;2043964409;2063946372;2081249551;2082030116;2087751584,https://doi.org/10.1016/j.amc.2011.02.041
2551670547,Modelling Propagation of Public Opinions on Microblogging Big Data Using Sentiment Analysis and Compartmental Models,2017.0,4,Journal,21.0,1499517307;1752870744;1814023381;1986048029;2002445715;2006978522;2009933589;2010080507;2018444966;2021314079;2037965136;2053241453;2062986541;2076219102;2092473613;2113889316;2140540364;2141250202;2145446394;2164082612;2315641939,https://doi.org/10.4018/IJSWIS.2017010102
2076383922,ManetPRO: a protocol evaluation testbed over m-platforms,2011.0,2,Conference,1.0,1555718099,https://doi.org/10.1145/2095536.2095649
2114660349,Testability of floating gate defects in sequential circuits,1995.0,16,Conference,7.0,86453134;2008534549;2115729533;2134332340;2151393930;2155517327;2160968649,https://doi.org/10.1109/VTEST.1995.512638
2890813201,"Information and communication technology, mobile devices, and medical education",2018.0,0,Repository,3.0,1971719789;2002122247;2341527855,https://doi.org/10.1101/420281
2068108947,Pseudospectral methods for Boussinesq-type equations in an annular domain with applications to mid-sized lakes,2013.0,7,Journal,3.0,1576347883;2002295703;2072768240,https://doi.org/10.1016/j.jocs.2012.01.005
2940443183,Spacecraft output feedback attitude control based on extended state observer and adaptive dynamic programming,2019.0,0,Journal,22.0,173093232;1680219837;1780973563;1983045902;2007751090;2047525345;2073591687;2079447190;2103345351;2110204796;2135574445;2317814600;2332612591;2343613738;2343912161;2467991260;2498677259;2589589874;2592485507;2605480404;2613336238;2963444849,https://doi.org/10.1016/j.jfranklin.2019.04.018
2051344474,Graph matching using the interference of discrete-time quantum walks,2009.0,13,Journal,45.0,200434350;1494451587;1497988260;1519689626;1520302490;1528939377;1556271304;1568495775;1769646004;1887130327;2009948449;2010541316;2013563330;2016360312;2027178201;2045798786;2046021036;2051615657;2052310027;2053841470;2054665888;2066636486;2068379792;2079585857;2081812591;2084652510;2091531721;2097746044;2098109165;2099438806;2101697221;2105549229;2108182844;2111308925;2121947440;2125637308;2126359798;2136761100;2137147061;2139823104;2152132697;2158614393;2159537329;2165107146;2408286483,https://doi.org/10.1016/j.imavis.2008.10.013
1972559729,Performance-aware Energy Saving Mechanism in Interconnection Networks for Parallel Systems☆,2014.0,1,Conference,11.0,148964820;1531981541;1939228150;1979928127;1980527406;2058135584;2126495708;2129163257;2138506008;2153483562;2155765360,https://doi.org/10.1016/j.procs.2014.05.013
